# x y z pred gt
0.521760 -0.395797 -0.086739 2 1
0.542792 -0.357740 -0.060697 -1 1
0.565830 -0.314670 -0.037661 -1 1
0.585863 -0.276609 -0.015627 7 1
0.606895 -0.238552 0.009413 7 1
0.627927 -0.199489 0.029445 7 1
0.650965 -0.157424 0.054484 7 1
0.499725 -0.327691 -0.051684 -1 1
0.522763 -0.284623 -0.030650 7 1
0.541793 -0.248565 -0.007614 7 1
0.562825 -0.210508 0.016424 7 1
0.585863 -0.166438 0.033451 7 1
0.605892 -0.128377 0.057489 7 1
0.626925 -0.090317 0.082528 -1 1
0.444640 -0.292635 -0.036660 2 1
0.467674 -0.250570 -0.020634 -1 1
0.489709 -0.208503 0.003404 7 1
0.510744 -0.170442 0.024437 7 1
0.531776 -0.131382 0.045470 7 1
0.551806 -0.094324 0.069508 7 1
0.428614 -0.208503 -0.007614 -1 1
0.449646 -0.168440 0.012418 7 1
0.471681 -0.128377 0.032449 7 1
0.491714 -0.091320 0.057489 7 1
0.512746 -0.050254 0.080526 -1 1
0.403575 -0.140396 0.019429 -1 1
0.425609 -0.100333 0.041463 -1 1
0.445639 -0.062273 0.064500 7 1
0.465672 -0.024212 0.090541 -1 1
0.378535 -0.090317 0.038459 -1 1
0.398565 -0.053259 0.063498 -1 1
0.420600 -0.012194 0.085533 -1 1
0.343479 -0.033226 0.059492 -1 1
0.364511 0.006836 0.084531 3 1
0.306421 -0.000175 0.084531 -1 1
0.244324 -0.000175 0.073514 -1 1
0.268361 0.043894 0.083530 3 1
0.179219 -0.005182 0.050478 5 1
0.203259 0.038888 0.073514 -1 1
0.083068 -0.043243 0.007410 5 1
0.103101 -0.005182 0.033451 -1 1
0.125136 0.035883 0.056487 6 1
0.147171 0.075945 0.081527 -1 1
-0.002067 -0.082306 -0.021636 5 1
0.020971 -0.040238 0.004405 5 1
0.041003 -0.001175 0.026440 -1 1
0.063038 0.037885 0.049476 6 1
0.085073 0.080952 0.075517 6 1
-0.098217 -0.147408 -0.061699 4 1
-0.077185 -0.109347 -0.047677 5 1
-0.055150 -0.068282 -0.021636 -1 1
-0.033115 -0.027217 -0.002606 -1 1
-0.013083 0.010843 0.022434 -1 1
0.008952 0.051909 0.046472 -1 1
0.030987 0.092971 0.068506 6 1
-0.162317 -0.163433 -0.085737 -1 1
-0.141285 -0.124370 -0.062700 -1 1
-0.122254 -0.088315 -0.041667 6 1
-0.099220 -0.045245 -0.016628 6 1
-0.077185 -0.003180 0.003404 -1 1
-0.057152 0.032878 0.027441 -1 1
-0.034115 0.075945 0.046472 6 1
-0.012080 0.117011 0.075517 6 1
-0.217406 -0.139393 -0.086739 6 1
-0.196373 -0.100333 -0.061699 6 1
-0.176340 -0.062273 -0.039664 6 1
-0.153303 -0.021208 -0.013623 6 1
-0.133273 0.017852 0.006408 6 1
-0.112238 0.056915 0.029445 6 1
-0.090203 0.098983 0.051480 6 1
-0.069171 0.138043 0.071511 6 1
-0.238438 -0.179459 -0.108774 -1 1
-0.275496 -0.140396 -0.092748 6 1
-0.252461 -0.098328 -0.072717 6 1
-0.231426 -0.059268 -0.048678 6 1
-0.209391 -0.017201 -0.025642 6 1
-0.188359 0.021859 0.000399 6 1
-0.169329 0.058917 0.021432 6 1
-0.147294 0.098983 0.041463 6 1
-0.125259 0.141047 0.066503 6 1
-0.104227 0.180111 0.092544 -1 1
-0.339598 -0.143401 -0.110776 6 1
-0.317563 -0.102335 -0.082732 6 1
-0.296531 -0.061270 -0.062700 6 1
-0.275496 -0.023210 -0.038663 6 1
-0.254463 0.015850 -0.011620 6 1
-0.232429 0.056915 0.007410 6 1
-0.213398 0.093973 0.031448 6 1
-0.192366 0.134036 0.052481 6 1
-0.169329 0.176103 0.074516 6 1
-0.392682 -0.123368 -0.107772 6 1
-0.370647 -0.081303 -0.085737 6 1
-0.348612 -0.041241 -0.057693 6 1
-0.329582 -0.004183 -0.033655 6 1
-0.306544 0.037885 -0.010618 6 1
-0.283510 0.080952 0.010415 6 1
-0.263477 0.119013 0.032449 6 1
-0.241442 0.161080 0.058491 6 1
-0.220410 0.201143 0.079524 6 1
-0.453777 -0.100333 -0.107772 6 1
-0.431742 -0.058266 -0.079728 6 1
-0.409707 -0.017201 -0.060697 6 1
-0.389677 0.020857 -0.033655 6 1
-0.366640 0.062924 -0.011620 6 1
-0.346610 0.100985 0.012418 6 1
-0.325575 0.141047 0.033451 6 1
-0.303540 0.182113 0.053483 6 1
-0.283510 0.219171 0.080526 6 1
-0.511870 -0.093322 -0.117787 6 1
-0.490835 -0.052256 -0.092748 6 1
-0.467800 -0.010192 -0.069711 6 1
-0.447767 0.028871 -0.043671 6 1
-0.425733 0.068934 -0.022638 6 1
-0.404700 0.107997 0.003404 6 1
-0.383668 0.149062 0.024437 6 1
-0.361633 0.188122 0.046472 6 1
-0.339598 0.230189 0.072513 6 1
-0.531900 -0.018203 -0.081730 6 1
-0.510867 0.021859 -0.055689 6 1
-0.489835 0.060922 -0.033655 6 1
-0.466798 0.103990 -0.009617 6 1
-0.446768 0.143050 0.014421 6 1
-0.425733 0.181110 0.037458 6 1
-0.403698 0.223178 0.057489 6 1
-0.381663 0.264243 0.078522 -1 1
-0.554937 -0.060271 -0.103765 6 1
-0.614030 -0.064275 -0.125800 6 1
-0.593997 -0.026214 -0.091746 6 1
-0.570963 0.016853 -0.069711 6 1
-0.550930 0.053911 -0.045674 6 1
-0.528895 0.094976 -0.020634 6 1
-0.505861 0.139045 0.002402 6 1
-0.487830 0.173099 0.025438 6 1
-0.465795 0.214164 0.046472 6 1
-0.442761 0.257231 0.069508 6 1
-0.664109 -0.028220 -0.116786 6 1
-0.643076 0.011843 -0.082732 6 1
-0.621042 0.052908 -0.060697 6 1
-0.601009 0.090969 -0.033655 6 1
-0.577974 0.134036 -0.015627 6 1
-0.557942 0.173099 0.009413 6 1
-0.535907 0.214164 0.034452 6 1
-0.513872 0.254226 0.055486 6 1
-0.492840 0.294289 0.078522 -1 1
-0.725207 -0.020205 -0.126802 6 1
-0.704171 0.019857 -0.089743 6 1
-0.683139 0.059920 -0.069711 6 1
-0.663106 0.097980 -0.041667 6 1
-0.641071 0.139045 -0.020634 6 1
-0.619037 0.180111 -0.000603 6 1
-0.599007 0.218168 0.026440 6 1
-0.576972 0.260236 0.047473 6 1
-0.554937 0.301301 0.068506 6 1
-0.787304 -0.003180 -0.128805 6 1
-0.768274 0.033878 -0.094751 6 1
-0.746239 0.074943 -0.068710 6 1
-0.725207 0.113003 -0.045674 6 1
-0.705174 0.153066 -0.025642 6 1
-0.682136 0.196133 -0.001605 6 1
-0.662107 0.234194 0.020430 6 1
-0.640072 0.273257 0.043467 6 1
-0.618037 0.316324 0.067505 6 1
-0.841387 0.017852 -0.125800 6 1
-0.821357 0.054913 -0.090745 6 1
-0.799323 0.095975 -0.070713 6 1
-0.779290 0.134036 -0.045674 6 1
-0.758257 0.173099 -0.021636 6 1
-0.736223 0.214164 0.002402 6 1
-0.716190 0.253224 0.022434 6 1
-0.695157 0.292287 0.044469 6 1
