# x y z pred gt
-0.303035 0.262224 0.018602 0 2
0.728639 -0.605841 -0.172101 1 1
0.600461 0.318497 -0.186691 0 2
-0.888693 -0.270286 -0.195027 1 1
-0.051891 -0.445358 -0.181480 1 1
0.271159 -0.051446 0.196800 1 2
0.866195 -0.155656 0.187421 1 2
-0.740715 0.596737 -0.170017 0 2
-0.835546 0.158015 0.199927 1 1
0.117971 0.411244 -0.178354 0 2
-0.446844 -0.203592 -0.067892 1 1
0.374326 -0.381790 -0.057471 1 1
-0.106079 -0.095214 0.096759 1 1
0.904753 0.118415 -0.072060 0 2
0.580661 0.047553 0.049865 0 2
-0.392656 0.530043 -0.182522 0 2
-0.520833 0.051721 0.165537 1 1
-0.635464 0.348718 0.018602 0 2
0.056487 0.179899 0.034233 0 2
0.681744 -0.361991 0.020686 1 1
-0.720915 -0.083751 -0.020998 1 1
0.342021 0.211162 -0.046008 0 2
0.099213 -0.275497 -0.005366 1 1
0.488957 -0.204634 0.137401 1 1
-0.135258 0.485233 -0.190859 0 2
-0.641716 -0.322391 -0.187733 1 1
-0.206121 -0.275497 -0.083523 1 1
0.460820 -0.573536 -0.188775 1 1
-0.275941 0.054847 0.200969 1 1
0.184665 -0.486000 -0.183564 1 1
0.055445 0.001701 0.198884 -1 2
-0.075859 0.317455 -0.072060 0 2
0.791164 -0.003510 0.061328 0 2
0.695291 0.164267 -0.080397 0 2
0.287832 -0.235897 0.073833 1 1
0.332642 0.370602 -0.178354 0 2
-0.367645 -0.365117 -0.174186 1 1
0.837016 0.267435 -0.195027 0 2
-0.301993 -0.102509 0.057160 1 1
-0.135258 0.169478 0.080086 0 2
0.653608 -0.103551 0.166579 0 2
-0.867851 0.012121 0.063412 1 1
-0.484360 0.236172 0.084254 0 2
0.243022 0.090279 0.074875 0 2
-0.464560 0.389360 -0.048092 0 2
-0.590654 0.497738 -0.128333 0 2
0.552525 -0.462032 -0.074144 1 1
-0.644843 0.193446 0.158243 0 2
-0.890777 -0.126477 -0.059555 1 1
-0.517707 -0.072288 0.037360 1 1
0.104424 -0.143151 0.109264 1 1
-0.297825 0.395612 -0.096028 0 2
0.179455 0.266393 -0.071018 0 2
-0.782399 0.298698 0.095717 0 2
-0.754262 0.459180 -0.041839 0 2
0.446231 -0.018099 0.135317 0 2
0.730723 -0.253613 0.142611 1 1
-0.692779 0.037132 0.094675 1 1
0.506672 0.168436 -0.036629 0 2
0.507714 -0.329686 0.022770 1 1
-0.741757 -0.201508 -0.128333 1 1
-0.099827 0.040258 0.175958 0 2
0.214886 -0.358864 -0.071018 1 1
-0.047722 -0.207761 0.006097 1 1
0.731765 -0.491210 -0.069976 1 1
-0.355140 0.162183 0.120727 0 2
-0.063354 -0.318223 -0.096028 1 1
0.459778 0.293487 -0.146049 0 2
-0.225920 -0.407843 -0.177312 1 1
-0.590654 -0.207761 -0.102281 1 1
0.387874 0.088194 0.054033 0 2
0.080456 -0.371369 -0.113744 1 1
-0.409329 -0.018099 0.110306 1 1
0.339937 -0.472453 -0.154386 1 1
-0.026880 0.410202 -0.156470 0 2
-0.496865 -0.328644 -0.182522 1 1
0.603587 -0.562073 -0.157512 1 1
0.361821 -0.141066 0.159285 1 1
0.056487 0.317455 -0.080397 0 2
-0.318667 -0.201508 -0.041839 1 1
-0.198826 -0.169203 0.013392 1 1
0.615050 -0.276539 0.091549 1 1
0.903710 0.020458 0.007139 0 2
0.125266 0.067353 0.117601 0 2
-0.186321 0.290361 -0.018913 0 2
0.795333 -0.415137 0.022770 1 1
0.792206 0.085068 -0.026208 0 2
-0.765725 -0.303633 -0.193985 1 1
0.000214 0.102784 0.112391 0 2
-0.208205 -0.028520 0.141569 1 1
0.384747 -0.295296 0.030065 1 1
-0.161310 0.388318 -0.122081 0 2
0.241980 -0.136898 0.121769 1 1
0.931847 0.209077 -0.158554 0 2
0.059614 -0.478705 -0.189817 1 1
0.543146 -0.128561 0.207221 1 1
0.151318 -0.073330 0.188463 1 1
0.214886 0.170520 -0.003282 0 2
-0.612538 -0.118140 -0.023082 1 1
-0.284278 0.496696 -0.177312 0 2
0.672365 -0.011847 0.080086 0 2
0.558777 0.242424 -0.113744 0 2
-0.068564 0.234088 0.004013 0 2
-0.406203 0.304950 0.001928 0 2
0.818259 -0.313012 0.104054 1 1
0.791164 -0.090004 0.135317 0 2
0.707797 0.287235 -0.178354 0 2
0.005425 -0.093130 0.120727 1 1
-0.460392 0.146552 0.149906 0 2
0.441020 -0.457863 -0.101239 1 1
-0.516665 0.566516 -0.171059 0 2
-0.632337 0.588400 -0.184606 0 2
0.294085 0.293487 -0.110618 0 2
0.226349 0.406033 -0.191901 0 2
-0.238425 0.153846 0.112391 0 2
-0.320751 -0.283833 -0.112702 1 1
0.343063 0.012121 0.120727 0 2
-0.590654 0.254930 0.084254 0 2
-0.405161 -0.107719 0.025897 1 1
0.671323 0.077773 -0.000156 0 2
0.166949 -0.209845 0.046739 1 1
-0.629211 -0.034773 0.042570 1 1
-0.719873 0.120499 0.182211 1 1
0.794290 0.188236 -0.113744 0 2
-0.568770 0.412286 -0.054345 0 2
0.738017 -0.155656 0.202011 -1 2
0.549398 -0.047278 0.140527 0 2
-0.741757 0.375813 0.018602 0 2
-0.864724 -0.183792 -0.143965 1 1
-0.508328 0.319539 0.013392 0 2
-0.474981 0.468559 -0.112702 0 2
0.230517 -0.289044 0.009223 1 1
0.251359 -0.433895 -0.128333 1 1
-0.767810 -0.016015 0.056117 1 1
0.491041 0.088194 0.036318 0 2
-0.596906 0.111120 0.188463 1 1
-0.120669 -0.381790 -0.151259 1 1
0.307632 0.143425 0.016518 0 2
-0.823041 0.078816 0.118643 1 1
-0.796988 -0.143151 -0.074144 1 1
-0.388487 0.428959 -0.100197 0 2
0.653608 -0.422432 -0.048092 1 1
-0.123795 -0.248402 -0.043924 1 1
-0.745926 0.228877 0.148864 0 2
0.158613 0.343508 -0.128333 0 2
0.251359 0.020458 0.136359 0 2
-0.679232 0.284108 0.081128 0 2
-0.298867 -0.033731 0.120727 1 1
0.868279 -0.061867 0.091549 0 2
-0.660474 0.421665 -0.042882 0 2
-0.427045 -0.285918 -0.138754 1 1
0.587956 -0.199424 0.135317 1 1
-0.515623 -0.147319 -0.016829 1 1
-0.205078 0.216372 0.043612 0 2
-0.586485 0.011079 0.116559 1 1
-0.186321 0.069437 0.180127 0 2
0.402463 0.152804 -0.008492 0 2
0.840143 -0.242150 0.177000 1 1
-0.692779 0.496696 -0.097071 0 2
0.016888 0.244509 -0.024124 0 2
0.033561 -0.205676 0.045696 1 1
0.489999 -0.395338 -0.035587 1 1
0.593166 0.163225 -0.056429 0 2
0.396210 -0.201508 0.104054 1 1
-0.506244 -0.250486 -0.119997 1 1
-0.292614 0.331003 -0.035587 0 2
0.155486 -0.412011 -0.135628 1 1
0.631724 -0.487042 -0.103323 1 1
-0.039385 0.165309 0.065496 0 2
-0.039385 -0.021226 0.190548 1 1
-0.833462 -0.078541 -0.014745 1 1
0.006467 -0.285918 -0.056429 1 1
0.586914 -0.352612 -0.002240 1 1
0.658818 -0.191087 0.183253 1 1
0.497293 -0.505800 -0.145007 1 1
0.396210 0.255972 -0.094986 0 2
-0.212373 -0.088962 0.082170 1 1
-0.398908 0.236172 0.050907 0 2
-0.088364 0.107994 0.126980 0 2
0.725512 -0.314054 0.073833 1 1
0.498336 -0.257781 0.064454 1 1
0.122139 0.211162 -0.006408 0 2
-0.027922 -0.156698 0.072791 1 1
0.165907 0.117373 0.060286 0 2
0.652566 0.222625 -0.121039 0 2
0.500420 0.346634 -0.195027 0 2
-0.224878 0.360181 -0.077271 0 2
-0.566685 -0.289044 -0.159596 1 1
-0.285320 -0.353654 -0.165849 1 1
-0.543759 0.197614 0.122811 0 2
-0.386403 0.367476 -0.048092 0 2
0.305548 -0.309886 -0.011619 1 1
0.394126 -0.529768 -0.182522 1 1
-0.459350 0.088194 0.204095 1 1
-0.660474 -0.173371 -0.085607 1 1
-0.821999 0.235130 0.170748 0 2
0.288874 -0.379706 -0.053303 1 1
0.689039 -0.543315 -0.145007 1 1
0.244064 0.345592 -0.141881 0 2
0.273243 -0.508926 -0.174186 1 1
0.576493 0.105910 -0.002240 0 2
0.435810 -0.335938 -0.012661 1 1
-0.129006 -0.149403 0.045696 1 1
-0.040427 -0.377622 -0.145007 1 1
-0.691737 -0.266118 -0.168975 1 1
-0.507286 0.003785 0.106138 1 1
0.369116 0.314329 -0.139796 0 2
-0.006038 0.350802 -0.110618 0 2
-0.243636 -0.218181 -0.044966 1 1
-0.801157 -0.232771 -0.165849 1 1
0.065866 -0.075414 0.164495 1 1
-0.201952 0.458138 -0.164807 0 2
-0.644843 0.064226 0.147822 1 1
-0.101911 0.423749 -0.159596 0 2
0.162781 0.000658 0.173874 0 2
-0.312414 0.105910 0.158243 0 2
-0.308246 0.204909 0.079044 0 2
0.732807 0.226793 -0.134586 0 2
0.444147 0.044426 0.078001 0 2
